author,studyID,treatment,responders,sampleSize,age,child,young,adult,elder,(female=1),ethnic(asian),asian,middle-east,hispanic,white,black,condition(not-at-risk),not-at-risk,chronic-dis,immuno,variant(wildtype),alpha,beta,gamma,delta,omicron,platform,subgroup,ROB(low),moderate,critical,outcome,study.type,study
"Powell, 2021",270,UNVAC,255,189833,12-15yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,hosp,CC,"Powell, 2021-270"
"Powell, 2021",271,UNVAC,255,34338,16-17yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,hosp,CC,"Powell, 2021-271"
"Prunas, 2022",274,UNVAC,9021,137293,14yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,CC,"Prunas, 2022-274"
"Reis, 2021",276,UNVAC,400,56997,12-18yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,RC,"Reis, 2021-276"
"Reis, 2021",277,UNVAC,818,46384,12-18yr,0,1,0,0,all,Israeli,0,1,0,0,0,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,doc-infect,RC,"Reis, 2021-277"
"Reis, 2021",278,UNVAC,84,57803,12-18yr,0,1,0,0,all,Israeli,0,1,0,0,0,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,symp,RC,"Reis, 2021-278"
"Reis, 2021",279,UNVAC,151,47194,12-18yr,0,1,0,0,all,Israeli,0,1,0,0,0,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,symp,RC,"Reis, 2021-279"
"Shrotri, 2021",294,UNVAC,723,15392,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,PC,"Shrotri, 2021-294"
"Skowronski, 2021a",296,UNVAC,475,4542,70,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,CC,"Skowronski, 2021a-296"
"Skowronski, 2021b",298,UNVAC,5258,40616,50-69yr,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,CC,"Skowronski, 2021b-298"
"Skowronski, 2021b",301,UNVAC,547,40616,50-69yr,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,hosp,CC,"Skowronski, 2021b-301"
"Tartof, 2021",305,UNVAC,11,572547,12-15yr,0,1,0,0,all,US,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,hosp,RC,"Tartof, 2021-305"
"Tartof, 2021",307,UNVAC,560,572547,16-44yr,0,0,1,0,all,US,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,hosp,RC,"Tartof, 2021-307"
"Tartof, 2021",309,UNVAC,1241,572547,65,0,0,0,1,all,US,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,hosp,RC,"Tartof, 2021-309"
"Tartof, 2021",310,UNVAC,1020,572547,45-64yr,0,0,1,0,all,US,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,hosp,RC,"Tartof, 2021-310"
"Tartof, 2021",312,UNVAC,2106,572547,12-15yr,0,1,0,0,all,US,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RC,"Tartof, 2021-312"
"Tartof, 2021",314,UNVAC,4320,572547,65,0,0,0,1,all,US,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RC,"Tartof, 2021-314"
"Tartof, 2021",315,UNVAC,1241,572547,65,0,0,0,1,all,US,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,hosp,RC,"Tartof, 2021-315"
"Tartof, 2021",316,UNVAC,12981,572547,45-64yr,0,0,1,0,all,US,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RC,"Tartof, 2021-316"
"Tartof, 2021",317,UNVAC,4320,572547,65,0,0,0,1,all,US,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RC,"Tartof, 2021-317"
"Tartof, 2021",318,UNVAC,20664,572547,16-44yr,0,0,1,0,all,US,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RC,"Tartof, 2021-318"
"Tartof, 2021",319,UNVAC,12981,572547,45-64yr,0,0,1,0,all,US,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RC,"Tartof, 2021-319"
"Tartof, 2021",320,UNVAC,20664,572547,16-44yr,0,0,1,0,all,US,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RC,"Tartof, 2021-320"
"Tartof, 2021",321,UNVAC,994,2290189,12,1,0,0,0,all,US,0,0,0,1,0,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,doc-infect,RC,"Tartof, 2021-321"
"Tartof, 2021",323,UNVAC,92,2290189,12,1,0,0,0,all,US,0,0,0,1,0,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,hosp,RC,"Tartof, 2021-323"
"Thompson, 2022",325,UNVAC,14272,37400,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,hosp,CC,"Thompson, 2022-325"
"Thompson, 2022",327,UNVAC,174,460,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,omicron,0,0,0,0,1,unvaccinated,,NA,NA,NA,hosp,CC,"Thompson, 2022-327"
"Wickert, 2021",340,UNVAC,112,628,17-26yr,0,1,0,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,PC,"Wickert, 2021-340"
"Tartof, 2022",341,UNVAC,166671,1254548,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,all,all,all,all,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,RC,"Tartof, 2022-341"
"Tartof, 2022",342,UNVAC,148151,1068390,18-64,0,0,1,0,all,NA,NA,NA,NA,NA,NA,all,all,all,all,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RC,"Tartof, 2022-342"
"Tartof, 2022",343,UNVAC,18520,186158,>=80,0,0,0,1,all,NA,NA,NA,NA,NA,NA,all,all,all,all,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RC,"Tartof, 2022-343"
"Tartof, 2022",344,UNVAC,5724,68547,>=75,0,0,0,1,all,NA,NA,NA,NA,NA,NA,all,all,all,all,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RC,"Tartof, 2022-344"
"Tartof, 2022",345,UNVAC,4169,28151,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,immunocompromised,0,0,1,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RC,"Tartof, 2022-345"
"Tartof, 2022",346,UNVAC,162502,1226398,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,non-immunocompromised,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RC,"Tartof, 2022-346"
"Tartof, 2022",347,UNVAC,13910,1315744,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,all,all,all,all,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,hosp,RC,"Tartof, 2022-347"
"Tartof, 2022",348,UNVAC,8291,1125783,18-64,0,0,1,0,all,NA,NA,NA,NA,NA,NA,all,all,all,all,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,hosp,RC,"Tartof, 2022-348"
"Tartof, 2022",349,UNVAC,5619,189962,>=65,0,0,0,1,all,NA,NA,NA,NA,NA,NA,all,all,all,all,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,hosp,RC,"Tartof, 2022-349"
"Tartof, 2022",350,UNVAC,2812,69427,>=75,0,0,0,1,all,NA,NA,NA,NA,NA,NA,all,all,all,all,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,hosp,RC,"Tartof, 2022-350"
"Tartof, 2022",351,UNVAC,998,29276,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,immunocompromised,0,0,1,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,hosp,RC,"Tartof, 2022-351"
"Tartof, 2022",352,UNVAC,12912,1286468,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,non-immunocompromised,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,hosp,RC,"Tartof, 2022-352"
"Cerqueira-Silva, 2022a",353,UNVAC,2661562,5529996,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,CC,"Cerqueira-Silva, 2022a-353"
"Cerqueira-Silva, 2022a",354,UNVAC,2381281,5064383,18-59yr,0,0,1,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,CC,"Cerqueira-Silva, 2022a-354"
"Cerqueira-Silva, 2022a",355,UNVAC,259065,428949,60-79yr,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,CC,"Cerqueira-Silva, 2022a-355"
"Cerqueira-Silva, 2022a",356,UNVAC,21216,36664,>=80,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,CC,"Cerqueira-Silva, 2022a-356"
"Cerqueira-Silva, 2022a",357,UNVAC,343414,3211848,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,hosp/death,CC,"Cerqueira-Silva, 2022a-357"
"Cerqueira-Silva, 2022a",358,UNVAC,233944,2917046,18-59yr,0,0,1,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,hosp/death,CC,"Cerqueira-Silva, 2022a-358"
"Cerqueira-Silva, 2022a",359,UNVAC,96038,265922,60-79yr,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,hosp/death,CC,"Cerqueira-Silva, 2022a-359"
"Cerqueira-Silva, 2022a",360,UNVAC,13432,28880,>=80,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,hosp/death,CC,"Cerqueira-Silva, 2022a-360"
"Cerqueira-Silva, 2021",361,UNVAC,14566,97856,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,symp,CC,"Cerqueira-Silva, 2021-361"
"Cerqueira-Silva, 2021",362,UNVAC,1011,6107,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,severe,CC,"Cerqueira-Silva, 2021-362"
"Cerqueira-Silva, 2022b",363,UNVAC,130302,1662565,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,symp,RC,"Cerqueira-Silva, 2022b-363"
"Cerqueira-Silva, 2022b",364,UNVAC,68126,855542,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,symp,RC,"Cerqueira-Silva, 2022b-364"
"Cerqueira-Silva, 2022b",365,UNVAC,22449,1664388,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,hosp,RC,"Cerqueira-Silva, 2022b-365"
"Cerqueira-Silva, 2022b",366,UNVAC,16289,856418,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,hosp,RC,"Cerqueira-Silva, 2022b-366"
"Cerqueira-Silva, 2022b",367,UNVAC,7037,1664670,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,death,RC,"Cerqueira-Silva, 2022b-367"
"Cerqueira-Silva, 2022b",368,UNVAC,7852,856563,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,death,RC,"Cerqueira-Silva, 2022b-368"
"Desai, 2022",369,UNVAC,555,1002,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,,NA,NA,NA,symp,CC,"Desai, 2022-369"
"Desai, 2022",370,UNVAC,271,472,all,all,all,all,all,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,subgroup,NA,NA,NA,symp,CC,"Desai, 2022-370"
"Desai, 2022",371,UNVAC,284,530,all,all,all,all,all,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,subgroup,NA,NA,NA,symp,CC,"Desai, 2022-371"
"Al, 2021",3,placebo,95,12737,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,symp,RCT,"Al, 2021-3"
"Al, 2021",4,placebo,2,12737,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,severe,RCT,"Al, 2021-4"
"Al, 2021",5,placebo,116,12722,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,RCT,"Al, 2021-5"
"Ali, 2021",6,placebo,7,1243,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,doc-infect,RCT,"Ali, 2021-6"
"Baden, 2021",15,placebo,185,14073,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,overall,NA,NA,NA,doc-infect,RCT,"Baden, 2021-15"
"Baden, 2021",16,placebo,156,10521,18-64yr,0,0,1,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RCT,"Baden, 2021-16"
"Baden, 2021",17,placebo,29,3552,=65yr,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RCT,"Baden, 2021-17"
"Baden, 2021",18,placebo,121,8403,18-64yr,0,0,1,0,all,NA,NA,NA,NA,NA,NA,not-at-risk,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,severe,RCT,"Baden, 2021-18"
"Baden, 2021",19,placebo,35,2118,18-64yr,0,0,1,0,all,NA,NA,NA,NA,NA,NA,at-risk,0,1,1,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,severe,RCT,"Baden, 2021-19"
"Baden, 2021",20,placebo,29,3552,=65yr,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,severe,RCT,"Baden, 2021-20"
"Baden, 2021",21,placebo,87,7462,18-,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RCT,"Baden, 2021-21"
"Baden, 2021",22,placebo,98,6611,18-,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RCT,"Baden, 2021-22"
"Baden, 2021",23,placebo,43,3167,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,at-risk,0,1,1,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,severe,RCT,"Baden, 2021-23"
"Baden, 2021",24,placebo,142,10906,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,not-at-risk,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,severe,RCT,"Baden, 2021-24"
"Baden, 2021",25,placebo,144,8916,18-,NA,NA,NA,NA,all,white,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RCT,"Baden, 2021-25"
"Baden, 2021",26,placebo,41,5132,18-,NA,NA,NA,NA,all,colored,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RCT,"Baden, 2021-26"
"Dunkle, 2022",91,placebo,141,385,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,overall,NA,NA,NA,doc-infect,RCT,"Dunkle, 2022-91"
"Dunkle, 2022",92,placebo,69,323,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,overall,NA,NA,NA,doc-infect,RCT,"Dunkle, 2022-92"
"Dunkle, 2022",93,placebo,69,9144,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,overall,NA,NA,NA,doc-infect,RCT,"Dunkle, 2022-93"
"Dunkle, 2022",94,placebo,61,7194,18-64yr,0,0,1,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RCT,"Dunkle, 2022-94"
"Dunkle, 2022",95,placebo,23,4131,all,all,all,all,all,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RCT,"Dunkle, 2022-95"
"Dunkle, 2022",96,placebo,40,4009,all,all,all,all,all,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RCT,"Dunkle, 2022-96"
"Dunkle, 2022",97,placebo,48,6184,all,all,all,all,all,all,white,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RCT,"Dunkle, 2022-97"
"Dunkle, 2022",98,placebo,7,905,all,all,all,all,all,all,black,0,0,0,0,1,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RCT,"Dunkle, 2022-98"
"Dunkle, 2022",99,placebo,14,1911,all,all,all,all,all,all,non-white,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RCT,"Dunkle, 2022-99"
"Dunkle, 2022",100,placebo,11,1751,all,all,all,all,all,all,hispanic,0,0,1,0,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RCT,"Dunkle, 2022-100"
"Dunkle, 2022",101,placebo,52,6379,all,all,all,all,all,all,non-hispanic,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RCT,"Dunkle, 2022-101"
"Dunkle, 2022",102,placebo,62,7638,all,all,all,all,all,all,US,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RCT,"Dunkle, 2022-102"
"Dunkle, 2022",103,placebo,34,3910,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,at-risk,0,1,1,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RCT,"Dunkle, 2022-103"
"Dunkle, 2022",104,placebo,29,4230,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,not-at-risk,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RCT,"Dunkle, 2022-104"
"Dunkle, 2022",105,placebo,62,7737,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,high-risk,0,1,1,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RCT,"Dunkle, 2022-105"
"Ella, 2021",106,placebo,106,8502,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,overall,NA,NA,NA,symp,RCT,"Ella, 2021-106"
"Ella, 2021",107,placebo,15,8502,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,overall,NA,NA,NA,severe,RCT,"Ella, 2021-107"
"Ella, 2021",108,placebo,90,7537,18-59yr,0,0,1,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,symp,RCT,"Ella, 2021-108"
"Ella, 2021",109,placebo,16,965,=60yr,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,symp,RCT,"Ella, 2021-109"
"Ella, 2021",110,placebo,37,2518,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,at-risk,0,1,1,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,symp,RCT,"Ella, 2021-110"
"Ella, 2021",111,placebo,61,8502,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,all,all,all,all,all,all,unvaccinated,overall,NA,NA,NA,doc-infect,RCT,"Ella, 2021-111"
"Ella, 2021",112,placebo,37,8502,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,subgroup,NA,NA,NA,doc-infect,RCT,"Ella, 2021-112"
"Ella, 2021",113,placebo,10,8502,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,kappa,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,doc-infect,RCT,"Ella, 2021-113"
"Ella, 2021",114,placebo,11,8502,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,other,all,all,all,all,all,unvaccinated,subgroup,NA,NA,NA,doc-infect,RCT,"Ella, 2021-114"
"Ella, 2021",115,placebo,3,8502,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,unvaccinated,subgroup,NA,NA,NA,doc-infect,RCT,"Ella, 2021-115"
"Falsey, 2021",116,placebo,116,6738,18-64yr,0,0,1,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,symp,RCT,"Falsey, 2021-116"
"Falsey, 2021",117,placebo,14,1812,=65yr,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,symp,RCT,"Falsey, 2021-117"
"Falsey, 2021",118,placebo,12,706,all,all,all,all,all,all,black,0,0,0,0,1,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,symp,RCT,"Falsey, 2021-118"
"Falsey, 2021",119,placebo,99,6755,all,all,all,all,all,all,white,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,symp,RCT,"Falsey, 2021-119"
"Falsey, 2021",120,placebo,9,373,all,all,all,all,all,all,american indian,0,0,1,0,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,symp,RCT,"Falsey, 2021-120"
"Falsey, 2021",121,placebo,10,716,all,all,all,all,all,all,other,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,symp,RCT,"Falsey, 2021-121"
"Falsey, 2021",122,placebo,30,2064,all,all,all,all,all,all,hispanic,0,0,1,0,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,symp,RCT,"Falsey, 2021-122"
"Falsey, 2021",123,placebo,98,6370,all,all,all,all,all,all,non-hispanic,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,symp,RCT,"Falsey, 2021-123"
"Falsey, 2021",124,placebo,84,4829,all,all,all,all,all,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,symp,RCT,"Falsey, 2021-124"
"Falsey, 2021",125,placebo,46,3721,all,all,all,all,all,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,symp,RCT,"Falsey, 2021-125"
"Falsey, 2021",126,placebo,130,8550253,all,all,all,all,all,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,overall,NA,NA,NA,symp,RCT,"Falsey, 2021-126"
"Falsey, 2021",127,placebo,119,672,all,all,all,all,all,all,US,0,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,symp,RCT,"Falsey, 2021-127"
"Falsey, 2021",128,placebo,2,435,all,all,all,all,all,all,Chile,0,0,1,0,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,symp,RCT,"Falsey, 2021-128"
