"","author","studyID","treatment","responders","sampleSize","age","child","young","adult","elder","X.female.1.","ethnic.asian.","asian","middle.east","hispanic","white","black","condition.not.at.risk.","not.at.risk","chronic.dis","immuno","variant.wildtype.","alpha","beta","gamma","delta","omicron","subgroup","ROB.low.","moderate","critical","outcome","vac_product","study.type","study"
"111","Skowronski, 2021b",298,1,5258,40616,"50-69yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","UNVAC","CC","Skowronski, 2021b-298"
"112","Skowronski, 2021b",301,1,547,40616,"50-69yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"hosp","UNVAC","CC","Skowronski, 2021b-301"
"113","Tartof, 2021",305,1,11,572547,"12-15yr","0","1","0","0","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"hosp","UNVAC","RC","Tartof, 2021-305"
"114","Tartof, 2021",307,1,560,572547,"16-44yr","0","0","1","0","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"hosp","UNVAC","RC","Tartof, 2021-307"
"115","Tartof, 2021",309,1,1241,572547,"65","0","0","0","1","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"hosp","UNVAC","RC","Tartof, 2021-309"
"116","Tartof, 2021",310,1,1020,572547,"45-64yr","0","0","1","0","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"hosp","UNVAC","RC","Tartof, 2021-310"
"117","Tartof, 2021",312,1,2106,572547,"12-15yr","0","1","0","0","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","RC","Tartof, 2021-312"
"118","Tartof, 2021",314,1,4320,572547,"65","0","0","0","1","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","RC","Tartof, 2021-314"
"119","Tartof, 2021",315,1,1241,572547,"65","0","0","0","1","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"hosp","UNVAC","RC","Tartof, 2021-315"
"120","Tartof, 2021",316,1,12981,572547,"45-64yr","0","0","1","0","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","RC","Tartof, 2021-316"
"121","Tartof, 2021",317,1,4320,572547,"65","0","0","0","1","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","RC","Tartof, 2021-317"
"122","Tartof, 2021",318,1,20664,572547,"16-44yr","0","0","1","0","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","RC","Tartof, 2021-318"
"123","Tartof, 2021",319,1,12981,572547,"45-64yr","0","0","1","0","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","RC","Tartof, 2021-319"
"124","Tartof, 2021",320,1,20664,572547,"16-44yr","0","0","1","0","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","RC","Tartof, 2021-320"
"125","Tartof, 2021",321,1,994,2290189,"12","1","1","0","0","all","US",0,0,0,1,0,NA,"1","0","0","delta","0","0","0","1","0","",NA,NA,NA,"doc-infect","UNVAC","RC","Tartof, 2021-321"
"126","Tartof, 2021",323,1,92,2290189,"12","1","1","0","0","all","US",0,0,0,1,0,NA,"1","0","0","delta","0","0","0","1","0","",NA,NA,NA,"hosp","UNVAC","RC","Tartof, 2021-323"
"127","Thompson, 2022",325,1,14272,37400,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","",NA,NA,NA,"hosp","UNVAC","CC","Thompson, 2022-325"
"128","Thompson, 2022",327,1,174,460,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","omicron","0","0","0","0","1","",NA,NA,NA,"hosp","UNVAC","CC","Thompson, 2022-327"
"129","Wickert, 2021",340,1,112,628,"17-26yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","UNVAC","PC","Wickert, 2021-340"
"130","Tartof, 2022",341,1,166671,1254548,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,"all","all","all","all",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","UNVAC","RC","Tartof, 2022-341"
"131","Tartof, 2022",342,1,148151,1068390,"18-64","0","0","1","0","all",NA,NA,NA,NA,NA,NA,"all","all","all","all",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","RC","Tartof, 2022-342"
"132","Tartof, 2022",343,1,18520,186158,">=80","0","0","0","1","all",NA,NA,NA,NA,NA,NA,"all","all","all","all",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","RC","Tartof, 2022-343"
"133","Tartof, 2022",344,1,5724,68547,">=75","0","0","0","1","all",NA,NA,NA,NA,NA,NA,"all","all","all","all",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","RC","Tartof, 2022-344"
"134","Tartof, 2022",345,1,4169,28151,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,"immunocompromised","0","0","1",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","RC","Tartof, 2022-345"
"135","Tartof, 2022",346,1,162502,1226398,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,"non-immunocompromised","1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","RC","Tartof, 2022-346"
"136","Tartof, 2022",347,1,13910,1315744,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,"all","all","all","all",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"hosp","UNVAC","RC","Tartof, 2022-347"
"137","Tartof, 2022",348,1,8291,1125783,"18-64","0","0","1","0","all",NA,NA,NA,NA,NA,NA,"all","all","all","all",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"hosp","UNVAC","RC","Tartof, 2022-348"
"138","Tartof, 2022",349,1,5619,189962,">=65","0","0","0","1","all",NA,NA,NA,NA,NA,NA,"all","all","all","all",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"hosp","UNVAC","RC","Tartof, 2022-349"
"139","Tartof, 2022",350,1,2812,69427,">=75","0","0","0","1","all",NA,NA,NA,NA,NA,NA,"all","all","all","all",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"hosp","UNVAC","RC","Tartof, 2022-350"
"140","Tartof, 2022",351,1,998,29276,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,"immunocompromised","0","0","1",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"hosp","UNVAC","RC","Tartof, 2022-351"
"141","Tartof, 2022",352,1,12912,1286468,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,"non-immunocompromised","1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"hosp","UNVAC","RC","Tartof, 2022-352"
"142","Cerqueira-Silva, 2022a",353,1,2661562,5529996,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","UNVAC","CC","Cerqueira-Silva, 2022a-353"
"143","Cerqueira-Silva, 2022a",354,1,2381281,5064383,"18-59yr","0","0","1","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","CC","Cerqueira-Silva, 2022a-354"
"144","Cerqueira-Silva, 2022a",355,1,259065,428949,"60-79yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","CC","Cerqueira-Silva, 2022a-355"
"145","Cerqueira-Silva, 2022a",356,1,21216,36664,">=80","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","UNVAC","CC","Cerqueira-Silva, 2022a-356"
"146","Cerqueira-Silva, 2022a",357,1,343414,3211848,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"hosp/death","UNVAC","CC","Cerqueira-Silva, 2022a-357"
"147","Cerqueira-Silva, 2022a",358,1,233944,2917046,"18-59yr","0","0","1","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"hosp/death","UNVAC","CC","Cerqueira-Silva, 2022a-358"
"148","Cerqueira-Silva, 2022a",359,1,96038,265922,"60-79yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"hosp/death","UNVAC","CC","Cerqueira-Silva, 2022a-359"
"149","Cerqueira-Silva, 2022a",360,1,13432,28880,">=80","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"hosp/death","UNVAC","CC","Cerqueira-Silva, 2022a-360"
"150","Cerqueira-Silva, 2021",361,1,14566,97856,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"symp","UNVAC","CC","Cerqueira-Silva, 2021-361"
"151","Cerqueira-Silva, 2021",362,1,1011,6107,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"severe","UNVAC","CC","Cerqueira-Silva, 2021-362"
"152","Cerqueira-Silva, 2022b",363,1,130302,1662565,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"symp","UNVAC","RC","Cerqueira-Silva, 2022b-363"
"153","Cerqueira-Silva, 2022b",364,1,68126,855542,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"symp","UNVAC","RC","Cerqueira-Silva, 2022b-364"
"154","Cerqueira-Silva, 2022b",365,1,22449,1664388,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"hosp","UNVAC","RC","Cerqueira-Silva, 2022b-365"
"155","Cerqueira-Silva, 2022b",366,1,16289,856418,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"hosp","UNVAC","RC","Cerqueira-Silva, 2022b-366"
"156","Cerqueira-Silva, 2022b",367,1,7037,1664670,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"death","UNVAC","RC","Cerqueira-Silva, 2022b-367"
"157","Cerqueira-Silva, 2022b",368,1,7852,856563,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"death","UNVAC","RC","Cerqueira-Silva, 2022b-368"
"158","Desai, 2022",369,1,555,1002,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","",NA,NA,NA,"symp","UNVAC","CC","Desai, 2022-369"
"159","Desai, 2022",370,1,271,472,"all","all","all","all","all","1",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","subgroup",NA,NA,NA,"symp","UNVAC","CC","Desai, 2022-370"
"160","Desai, 2022",371,1,284,530,"all","all","all","all","all","0",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","subgroup",NA,NA,NA,"symp","UNVAC","CC","Desai, 2022-371"
"161","Al, 2021",3,1,95,12737,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"symp","placebo","RCT","Al, 2021-3"
"162","Al, 2021",4,1,2,12737,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"severe","placebo","RCT","Al, 2021-4"
"163","Al, 2021",5,1,116,12722,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","placebo","RCT","Al, 2021-5"
"164","Ali, 2021",6,1,7,1243,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","placebo","RCT","Ali, 2021-6"
"165","Baden, 2021",15,1,185,14073,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"doc-infect","placebo","RCT","Baden, 2021-15"
"166","Baden, 2021",16,1,156,10521,"18-64yr","0","0","1","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Baden, 2021-16"
"167","Baden, 2021",17,1,29,3552,"=65yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Baden, 2021-17"
"168","Baden, 2021",18,1,121,8403,"18-64yr","0","0","1","0","all",NA,NA,NA,NA,NA,NA,"not-at-risk","1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"severe","placebo","RCT","Baden, 2021-18"
"169","Baden, 2021",19,1,35,2118,"18-64yr","0","0","1","0","all",NA,NA,NA,NA,NA,NA,"at-risk","0","1","1",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"severe","placebo","RCT","Baden, 2021-19"
"170","Baden, 2021",20,1,29,3552,"=65yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"severe","placebo","RCT","Baden, 2021-20"
"171","Baden, 2021",21,1,87,7462,"18-",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Baden, 2021-21"
"172","Baden, 2021",22,1,98,6611,"18-",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Baden, 2021-22"
"173","Baden, 2021",23,1,43,3167,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,"at-risk","0","1","1",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"severe","placebo","RCT","Baden, 2021-23"
"174","Baden, 2021",24,1,142,10906,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,"not-at-risk","1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"severe","placebo","RCT","Baden, 2021-24"
"175","Baden, 2021",25,1,144,8916,"18-",NA,NA,NA,NA,"all","white",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Baden, 2021-25"
"176","Baden, 2021",26,1,41,5132,"18-",NA,NA,NA,NA,"all","colored",NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Baden, 2021-26"
"177","Dunkle, 2022",91,1,141,385,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"doc-infect","placebo","RCT","Dunkle, 2022-91"
"178","Dunkle, 2022",92,1,69,323,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"doc-infect","placebo","RCT","Dunkle, 2022-92"
"179","Dunkle, 2022",93,1,69,9144,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"doc-infect","placebo","RCT","Dunkle, 2022-93"
"180","Dunkle, 2022",94,1,61,7194,"18-64yr","0","0","1","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Dunkle, 2022-94"
"181","Dunkle, 2022",95,1,23,4131,"all","all","all","all","all","0",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Dunkle, 2022-95"
"182","Dunkle, 2022",96,1,40,4009,"all","all","all","all","all","1",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Dunkle, 2022-96"
"183","Dunkle, 2022",97,1,48,6184,"all","all","all","all","all","all","white",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Dunkle, 2022-97"
"184","Dunkle, 2022",98,1,7,905,"all","all","all","all","all","all","black",0,0,0,0,1,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Dunkle, 2022-98"
"185","Dunkle, 2022",99,1,14,1911,"all","all","all","all","all","all","non-white",NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Dunkle, 2022-99"
"186","Dunkle, 2022",100,1,11,1751,"all","all","all","all","all","all","hispanic",0,0,1,0,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Dunkle, 2022-100"
"187","Dunkle, 2022",101,1,52,6379,"all","all","all","all","all","all","non-hispanic",NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Dunkle, 2022-101"
"188","Dunkle, 2022",102,1,62,7638,"all","all","all","all","all","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Dunkle, 2022-102"
"189","Dunkle, 2022",103,1,34,3910,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,"at-risk","0","1","1",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Dunkle, 2022-103"
"190","Dunkle, 2022",104,1,29,4230,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,"not-at-risk","1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Dunkle, 2022-104"
"191","Dunkle, 2022",105,1,62,7737,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,"high-risk","0","1","1",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Dunkle, 2022-105"
"192","Ella, 2021",106,1,106,8502,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"symp","placebo","RCT","Ella, 2021-106"
"193","Ella, 2021",107,1,15,8502,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"severe","placebo","RCT","Ella, 2021-107"
"194","Ella, 2021",108,1,90,7537,"18-59yr","0","0","1","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Ella, 2021-108"
"195","Ella, 2021",109,1,16,965,"=60yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Ella, 2021-109"
"196","Ella, 2021",110,1,37,2518,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,"at-risk","0","1","1",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Ella, 2021-110"
"197","Ella, 2021",111,1,61,8502,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","all","all","all","all","all","all","overall",NA,NA,NA,"doc-infect","placebo","RCT","Ella, 2021-111"
"198","Ella, 2021",112,1,37,8502,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Ella, 2021-112"
"199","Ella, 2021",113,1,10,8502,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","kappa",NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Ella, 2021-113"
"200","Ella, 2021",114,1,11,8502,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","other","all","all","all","all","all","subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Ella, 2021-114"
"201","Ella, 2021",115,1,3,8502,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","subgroup",NA,NA,NA,"doc-infect","placebo","RCT","Ella, 2021-115"
"202","Falsey, 2021",116,1,116,6738,"18-64yr","0","0","1","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Falsey, 2021-116"
"203","Falsey, 2021",117,1,14,1812,"=65yr","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Falsey, 2021-117"
"204","Falsey, 2021",118,1,12,706,"all","all","all","all","all","all","black",0,0,0,0,1,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Falsey, 2021-118"
"205","Falsey, 2021",119,1,99,6755,"all","all","all","all","all","all","white",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Falsey, 2021-119"
"206","Falsey, 2021",120,1,9,373,"all","all","all","all","all","all","american indian",0,0,1,0,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Falsey, 2021-120"
"207","Falsey, 2021",121,1,10,716,"all","all","all","all","all","all","other",NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Falsey, 2021-121"
"208","Falsey, 2021",122,1,30,2064,"all","all","all","all","all","all","hispanic",0,0,1,0,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Falsey, 2021-122"
"209","Falsey, 2021",123,1,98,6370,"all","all","all","all","all","all","non-hispanic",NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Falsey, 2021-123"
"210","Falsey, 2021",124,1,84,4829,"all","all","all","all","all","0",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Falsey, 2021-124"
"211","Falsey, 2021",125,1,46,3721,"all","all","all","all","all","1",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Falsey, 2021-125"
"212","Falsey, 2021",126,1,130,8550253,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"symp","placebo","RCT","Falsey, 2021-126"
"213","Falsey, 2021",127,1,119,672,"all","all","all","all","all","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Falsey, 2021-127"
"214","Falsey, 2021",128,1,2,435,"all","all","all","all","all","all","Chile",0,0,1,0,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Falsey, 2021-128"
"215","Falsey, 2021",129,1,9,5105,"all","all","all","all","all","all","Peru",0,0,1,0,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Falsey, 2021-129"
"216","Falsey, 2021",130,1,82,3444,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,"at-risk","0","1","1",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Falsey, 2021-130"
"217","Falsey, 2021",131,1,48,9031,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,"not-at-risk","1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"symp","placebo","RCT","Falsey, 2021-131"
"218","Falsey, 2021",132,1,8,8550,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"severe","placebo","RCT","Falsey, 2021-132"
"219","Falsey, 2021",133,1,9,8550,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"emergency","placebo","RCT","Falsey, 2021-133"
"220","Falsey, 2021",134,1,8,8550,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"hosp","placebo","RCT","Falsey, 2021-134"
"221","Falsey, 2021",135,1,1,8550,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"subgroup",NA,NA,NA,"ICU","placebo","RCT","Falsey, 2021-135"
"222","Frenck, 2021",140,1,16,978,"12-15yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"doc-infect","placebo","RCT","Frenck, 2021-140"
"223","Heath, 2021",159,1,96,7019,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"overall",NA,NA,NA,"symp","placebo","RCT","Heath, 2021-159"
